/data/guichoux/TED/ted_dataset/lmdb_train_speaker_model.pkl
Pose dim: 18
[VAL] joint mae: 0.02460, accel diff: 0.00340, FGD: 8.250, diversity_score: 95.105, BC: 0.714, BC 0.07: 0.703, Symetric_BC: 1.509, feat_D: 63.882 / 162.9s
[VAL] joint mae: 0.02433, accel diff: 0.00352, FGD: 8.194, diversity_score: 97.576, BC: 0.721, BC 0.07: 0.711, Symetric_BC: 1.515, feat_D: 63.618 / 163.6s
[VAL] joint mae: 0.02443, accel diff: 0.00356, FGD: 8.279, diversity_score: 94.670, BC: 0.714, BC 0.07: 0.703, Symetric_BC: 1.510, feat_D: 63.663 / 160.3s
[VAL] joint mae: 0.02442, accel diff: 0.00349, FGD: 8.644, diversity_score: 100.013, BC: 0.716, BC 0.07: 0.705, Symetric_BC: 1.512, feat_D: 63.703 / 163.1s
[VAL] joint mae: 0.02434, accel diff: 0.00367, FGD: 8.927, diversity_score: 97.853, BC: 0.716, BC 0.07: 0.706, Symetric_BC: 1.511, feat_D: 63.518 / 160.3s
[VAL] joint mae: 0.02457, accel diff: 0.00357, FGD: 8.119, diversity_score: 97.957, BC: 0.718, BC 0.07: 0.708, Symetric_BC: 1.512, feat_D: 64.055 / 163.3s
[VAL] joint mae: 0.02464, accel diff: 0.00353, FGD: 7.510, diversity_score: 98.208, BC: 0.715, BC 0.07: 0.703, Symetric_BC: 1.511, feat_D: 64.366 / 162.2s
[VAL] joint mae: 0.02436, accel diff: 0.00349, FGD: 7.926, diversity_score: 95.394, BC: 0.717, BC 0.07: 0.706, Symetric_BC: 1.511, feat_D: 63.822 / 163.6s
[VAL] joint mae: 0.02457, accel diff: 0.00355, FGD: 7.598, diversity_score: 100.787, BC: 0.716, BC 0.07: 0.707, Symetric_BC: 1.511, feat_D: 64.209 / 155.9s
[VAL] joint mae: 0.02434, accel diff: 0.00347, FGD: 8.780, diversity_score: 90.759, BC: 0.717, BC 0.07: 0.707, Symetric_BC: 1.512, feat_D: 63.428 / 157.0s
[VAL] joint mae: 0.02432, accel diff: 0.00342, FGD: 8.130, diversity_score: 101.334, BC: 0.713, BC 0.07: 0.701, Symetric_BC: 1.507, feat_D: 63.624 / 163.2s
[VAL] joint mae: 0.02444, accel diff: 0.00344, FGD: 8.617, diversity_score: 97.179, BC: 0.718, BC 0.07: 0.708, Symetric_BC: 1.515, feat_D: 63.566 / 163.1s
[VAL] joint mae: 0.02418, accel diff: 0.00368, FGD: 9.945, diversity_score: 101.091, BC: 0.728, BC 0.07: 0.718, Symetric_BC: 1.523, feat_D: 63.137 / 160.8s
[VAL] joint mae: 0.02460, accel diff: 0.00357, FGD: 8.014, diversity_score: 101.805, BC: 0.719, BC 0.07: 0.710, Symetric_BC: 1.514, feat_D: 64.140 / 162.4s
[VAL] joint mae: 0.02434, accel diff: 0.00354, FGD: 8.591, diversity_score: 99.472, BC: 0.715, BC 0.07: 0.704, Symetric_BC: 1.509, feat_D: 63.569 / 162.9s
